All neurons ordered are: ['PVR', 'RMEV', 'IL2DL', 'AWBR', 'ADFR', 'IL2DR', 'ADFL', 'AWBL', 'URYDL', 'AIML', 'DVA', 'URYDR', 'IL2VL', 'IL2L', 'AVDL', 'PHAL', 'AVJL', 'DB1', 'RMDDL', 'AVDR', 'AVL', 'PVT', 'AVKL', 'PHAR', 'RIH', 'RIPL', 'AVJR', 'IL2VR', 'DB4', 'AVKR', 'RIS', 'ADLL', 'BAGL', 'SAAVL', 'AWCL', 'DB3', 'URBL', 'IL2R', 'PVPL', 'SIAVL', 'SABD', 'URBR', 'AIBR', 'ADLR', 'RMDDR', 'AWCR', 'URYVR', 'RIBL', 'URYVL', 'ASHL', 'DA6', 'DA9', 'SAAVR', 'DB5', 'SAADL', 'DA1', 'SIAVR', 'AIMR', 'AVG', 'DA8', 'RIR', 'BAGR', 'SMDVR', 'RMDVR', 'SAADR', 'DA7', 'PDA', 'PVPR', 'RIVR', 'AVAR', 'SIBDL', 'RMDVL', 'AVAL', 'RMDR', 'AFDR', 'AVBR', 'SMBVL', 'AFDL', 'RMDL', 'DB2', 'SIADL', 'SIBVL', 'SIADR', 'ASHR', 'SIBVR', 'ALA', 'RMED', 'SMBVR', 'SMDDL', 'SIBDR', 'RIBR', 'URAVL', 'AIAL', 'DB6', 'RIPR', 'RMGR', 'AVBL', 'RIVL', 'SMDDR', 'AIYR', 'DB7', 'RMGL', 'AIAR', 'DD1', 'AWAR', 'ASGR', 'RIGL', 'RIML', 'DD2', 'RIGR', 'URAVR', 'AVEL', 'AWAL', 'ASGL', 'RMEL', 'RIAR', 'RMER', 'DA4', 'DA2', 'PVQR', 'AVER', 'PVQL', 'RIMR', 'RIAL', 'DD3', 'DA3', 'DD5', 'DA5', 'URADR', 'URADL', 'DD6', 'DD4', 'AINR', 'AINL', 'AVHR', 'AVHL', 'DVC', 'RID', 'ASER', 'ASEL', 'ASJR', 'AUAR', 'AUAL', 'ASJL', 'ASKL', 'ASKR', 'CEPDR', 'URXR', 'CEPDL', 'URXL', 'IL1DR', 'IL1L', 'IL1DL', 'ASIR', 'SMBDL', 'PHBR', 'HSNR', 'ASIL', 'CEPVL', 'SMBDR', 'OLLR', 'OLQDR', 'IL1VR', 'OLQDL', 'PHBL', 'RICL', 'HSNL', 'IL1VL', 'OLLL', 'CEPVR', 'OLQVL', 'IL1R', 'OLQVR', 'RIFL', 'SABVL', 'SABVR', 'RICR', 'RIFR', 'ADAR', 'FLPR', 'AIZR', 'ADEL', 'ADAL', 'ADER', 'AIZL', 'FLPL', 'LUAL', 'PVCL', 'ALMR', 'BDUR', 'PVCR', 'LUAR', 'BDUL', 'ALML', 'ALNR', 'PLMR', 'ALNL', 'PLML', 'PQR', 'AQR', 'PVM', 'SDQR', 'AVM', 'SDQL', 'PVWR', 'PVWL', 'VA1', 'VD1', 'RMHR', 'AS1', 'VB2', 'VD2', 'RMHL', 'VD3', 'AS2', 'PHCR', 'PHCL', 'VC3', 'PLNL', 'PLNR', 'AS4', 'AS3', 'VD7', 'DVB', 'VD5', 'VD6', 'VD4', 'VC4', 'VC2', 'AS5', 'AS6', 'VC1', 'VD9', 'VC5', 'VD10', 'VD8', 'AS8', 'VD11', 'AVFL', 'VA2', 'AVFR', 'AS7', 'VB1', 'VD13', 'AS9', 'VB3', 'VD12', 'AS10', 'AS11', 'PDB', 'VA6', 'VA4', 'VB9', 'VB5', 'VB4', 'VA3', 'VA8', 'VB7', 'VB6', 'VA5', 'VB10', 'VB11', 'VB8', 'VA7', 'VA10', 'VA9', 'VA12', 'VA11', 'PDER', 'PDEL', 'PVDR', 'PVNR', 'PVDL', 'PVNL', 'RMFR', 'RMFL']
Evaluated neurons ordered are: ['PVR', 'RMEV', 'IL2DL', 'AWBR', 'ADFR', 'IL2DR', 'ADFL', 'AWBL', 'URYDL', 'AIML', 'DVA', 'URYDR', 'IL2VL', 'IL2L', 'AVDL', 'PHAL', 'AVJL', 'DB1', 'RMDDL', 'AVDR', 'AVL', 'PVT', 'AVKL', 'PHAR', 'RIH', 'RIPL', 'AVJR', 'IL2VR', 'DB4', 'AVKR', 'RIS', 'ADLL', 'BAGL', 'SAAVL', 'AWCL', 'DB3', 'URBL', 'IL2R', 'PVPL', 'SIAVL', 'SABD', 'URBR', 'AIBR', 'ADLR', 'RMDDR', 'AWCR', 'URYVR', 'RIBL', 'URYVL', 'ASHL', 'DA6', 'DA9', 'SAAVR', 'DB5', 'SAADL', 'DA1', 'SIAVR', 'AIMR', 'AVG', 'DA8', 'RIR', 'BAGR', 'SMDVR', 'RMDVR', 'SAADR', 'DA7', 'PDA', 'PVPR', 'RIVR', 'AVAR', 'SIBDL', 'RMDVL', 'AVAL', 'RMDR', 'AFDR', 'AVBR', 'SMBVL', 'AFDL', 'RMDL', 'DB2']

Target connectome: 80 nodes, 255 edges, density=0.0398
  Out-degree: min=0, max=13, mean=3.19
  In-degree:  min=0, max=16, mean=3.19
Largest SCC: 24 nodes, 53 edges
Degree threshold for hubs (95th percentile): 7.0
Hub neurons: ['RIBL', 'RMDR', 'RIS']
G_C: 0.1565, G_rand_C: 0.0474, C_ratio: 3.2991
G_L: 4.3623, G_rand_L: 3.6020, L_ratio: 0.8257

NDP parameters breakdown:
  Embedding: 1
  Growth MLP: 4
  Transform MLP: 4
  Edge MLP: 5
  TOTAL: 14
============================================================
CMA-ES NDP Optimization
============================================================
  Target: 80 nodes, 255 edges
  Parameters: 14
  Metric: f1
  Population size: 128
  Max generations: 500
  Samples per eval: 1
============================================================
  Windows detected - using spawn multiprocessing with 24 workers
  Using 24 cores (parallel)
Gen   1 | loss=0.9250 | f1=0.0800 prec=0.0455 rec=0.3333 jacc=0.0417 | nodes=6/80 edges=22/255
Gen 128 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 129 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 130 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 131 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 132 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 133 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 134 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 135 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 136 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 137 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 138 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 139 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 140 | loss=0.3750 | f1=0.0692 prec=0.0391 rec=0.2980 jacc=0.0358 | nodes=110/80 edges=2578/255
Gen 141 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 142 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 143 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 144 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 145 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 146 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 147 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 148 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 149 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 150 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 151 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 152 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 153 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 154 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 155 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 156 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 157 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 158 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 159 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 160 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 161 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 162 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 163 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 164 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 165 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 166 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 167 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 168 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 169 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 170 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 171 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 172 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 173 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 174 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 175 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 176 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 177 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 178 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 179 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 180 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 181 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 182 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 183 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 184 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 185 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 186 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 187 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 188 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 189 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 190 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 191 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 192 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 193 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 194 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 195 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 196 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 197 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 198 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 199 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 200 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 201 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 202 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 203 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 204 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 205 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 206 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 207 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 208 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 209 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 210 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 211 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 212 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 213 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 214 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 215 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 216 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 217 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 218 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 219 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 220 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 221 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 222 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 223 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 224 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 225 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 226 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 227 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 228 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 229 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 230 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 231 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 232 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 233 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 234 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 235 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 236 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 237 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 238 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 239 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 240 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 241 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 242 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 243 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 244 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 245 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 246 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 247 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 248 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 249 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 250 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 251 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 252 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 253 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 254 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 255 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 256 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 257 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 258 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 259 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 260 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 261 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 262 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 263 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 264 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 265 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 266 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 267 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 268 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 269 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 270 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 271 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 272 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 273 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 274 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 275 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 276 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 277 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 278 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 279 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 280 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 281 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 282 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 283 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 284 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 285 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 286 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 287 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 288 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 289 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 290 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 291 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 292 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 293 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 294 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 295 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 296 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen 297 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
