All neurons ordered are: ['PVR', 'RMEV', 'IL2DL', 'AWBR', 'ADFR', 'IL2DR', 'ADFL', 'AWBL', 'URYDL', 'AIML', 'DVA', 'URYDR', 'IL2VL', 'IL2L', 'AVDL', 'PHAL', 'AVJL', 'DB1', 'RMDDL', 'AVDR', 'AVL', 'PVT', 'AVKL', 'PHAR', 'RIH', 'RIPL', 'AVJR', 'IL2VR', 'DB4', 'AVKR', 'RIS', 'ADLL', 'BAGL', 'SAAVL', 'AWCL', 'DB3', 'URBL', 'IL2R', 'PVPL', 'SIAVL', 'SABD', 'URBR', 'AIBR', 'ADLR', 'RMDDR', 'AWCR', 'URYVR', 'RIBL', 'URYVL', 'ASHL', 'DA6', 'DA9', 'SAAVR', 'DB5', 'SAADL', 'DA1', 'SIAVR', 'AIMR', 'AVG', 'DA8', 'RIR', 'BAGR', 'SMDVR', 'RMDVR', 'SAADR', 'DA7', 'PDA', 'PVPR', 'RIVR', 'AVAR', 'SIBDL', 'RMDVL', 'AVAL', 'RMDR', 'AFDR', 'AVBR', 'SMBVL', 'AFDL', 'RMDL', 'DB2', 'SIADL', 'SIBVL', 'SIADR', 'ASHR', 'SIBVR', 'ALA', 'RMED', 'SMBVR', 'SMDDL', 'SIBDR', 'RIBR', 'URAVL', 'AIAL', 'DB6', 'RIPR', 'RMGR', 'AVBL', 'RIVL', 'SMDDR', 'AIYR', 'DB7', 'RMGL', 'AIAR', 'DD1', 'AWAR', 'ASGR', 'RIGL', 'RIML', 'DD2', 'RIGR', 'URAVR', 'AVEL', 'AWAL', 'ASGL', 'RMEL', 'RIAR', 'RMER', 'DA4', 'DA2', 'PVQR', 'AVER', 'PVQL', 'RIMR', 'RIAL', 'DD3', 'DA3', 'DD5', 'DA5', 'URADR', 'URADL', 'DD6', 'DD4', 'AINR', 'AINL', 'AVHR', 'AVHL', 'DVC', 'RID', 'ASER', 'ASEL', 'ASJR', 'AUAR', 'AUAL', 'ASJL', 'ASKL', 'ASKR', 'CEPDR', 'URXR', 'CEPDL', 'URXL', 'IL1DR', 'IL1L', 'IL1DL', 'ASIR', 'SMBDL', 'PHBR', 'HSNR', 'ASIL', 'CEPVL', 'SMBDR', 'OLLR', 'OLQDR', 'IL1VR', 'OLQDL', 'PHBL', 'RICL', 'HSNL', 'IL1VL', 'OLLL', 'CEPVR', 'OLQVL', 'IL1R', 'OLQVR', 'RIFL', 'SABVL', 'SABVR', 'RICR', 'RIFR', 'ADAR', 'FLPR', 'AIZR', 'ADEL', 'ADAL', 'ADER', 'AIZL', 'FLPL', 'LUAL', 'PVCL', 'ALMR', 'BDUR', 'PVCR', 'LUAR', 'BDUL', 'ALML', 'ALNR', 'PLMR', 'ALNL', 'PLML', 'PQR', 'AQR', 'PVM', 'SDQR', 'AVM', 'SDQL', 'PVWR', 'PVWL', 'VA1', 'VD1', 'RMHR', 'AS1', 'VB2', 'VD2', 'RMHL', 'VD3', 'AS2', 'PHCR', 'PHCL', 'VC3', 'PLNL', 'PLNR', 'AS4', 'AS3', 'VD7', 'DVB', 'VD5', 'VD6', 'VD4', 'VC4', 'VC2', 'AS5', 'AS6', 'VC1', 'VD9', 'VC5', 'VD10', 'VD8', 'AS8', 'VD11', 'AVFL', 'VA2', 'AVFR', 'AS7', 'VB1', 'VD13', 'AS9', 'VB3', 'VD12', 'AS10', 'AS11', 'PDB', 'VA6', 'VA4', 'VB9', 'VB5', 'VB4', 'VA3', 'VA8', 'VB7', 'VB6', 'VA5', 'VB10', 'VB11', 'VB8', 'VA7', 'VA10', 'VA9', 'VA12', 'VA11', 'PDER', 'PDEL', 'PVDR', 'PVNR', 'PVDL', 'PVNL', 'RMFR', 'RMFL']
Evaluated neurons ordered are: ['PVR', 'RMEV', 'IL2DL', 'AWBR', 'ADFR', 'IL2DR', 'ADFL', 'AWBL', 'URYDL', 'AIML', 'DVA', 'URYDR', 'IL2VL', 'IL2L', 'AVDL', 'PHAL', 'AVJL', 'DB1', 'RMDDL', 'AVDR', 'AVL', 'PVT', 'AVKL', 'PHAR', 'RIH', 'RIPL', 'AVJR', 'IL2VR', 'DB4', 'AVKR', 'RIS', 'ADLL', 'BAGL', 'SAAVL', 'AWCL', 'DB3', 'URBL', 'IL2R', 'PVPL', 'SIAVL']

Target connectome: 40 nodes, 64 edges, density=0.0400
  Out-degree: min=0, max=6, mean=1.60
  In-degree:  min=0, max=7, mean=1.60
Largest SCC: 6 nodes, 9 edges
Degree threshold for hubs (95th percentile): 4.5
Hub neurons: ['PVR']
G_C: 0.0278, G_rand_C: 0.0200, C_ratio: 1.3889
G_L: 2.4333, G_rand_L: 2.0677, L_ratio: 0.8497

NDP parameters breakdown:
  Embedding: 2
  Growth MLP: 7
  Transform MLP: 7
  Edge MLP: 7
  TOTAL: 23
============================================================
CMA-ES NDP Optimization
============================================================
  Target: 40 nodes, 64 edges
  Parameters: 23
  Metric: f1
  Population size: 128
  Max generations: 500
  Samples per eval: 1
============================================================
  Windows detected - using spawn multiprocessing with 24 workers
  Using 24 cores (parallel)
Gen   1 | loss=11803.2910 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/40 edges=10/64
Gen  41 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  42 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  43 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  44 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  45 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  46 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  47 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  48 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  49 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  50 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  51 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  52 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  53 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  54 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  55 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  56 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  57 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  58 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  59 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  60 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  61 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  62 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  63 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  64 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  65 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  66 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  67 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  68 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  69 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  70 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  71 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  72 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  73 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  74 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  75 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  76 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  77 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  78 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  79 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  80 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  81 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  82 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  83 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  84 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  85 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  86 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  87 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  88 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  89 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  90 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  91 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  92 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  93 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  94 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  95 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  96 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  97 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  98 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  99 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 100 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 101 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 102 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 103 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 104 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 105 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 106 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 107 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 108 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 109 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 110 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 111 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 112 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 113 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 114 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 115 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 116 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 117 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 118 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 119 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 120 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 121 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 122 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 123 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 124 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 125 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 126 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 127 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 128 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 129 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 130 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 131 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 132 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 133 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen 134 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
