============================================================
CMA-ES Optimization
============================================================
  Parameters: [p_in, p_out]
  Metric: hamming_norm
  Population size: 12
  Max generations: 50
  Initial sigma: 0.05
  Min std: 0.005
  Initial guess: p_in=0.3752, p_out=0.9508
============================================================
Gen   1 | p_in=0.3298 p_out=0.8801 | loss=11.38438 | edges=54021 density=0.6940 | f1=0.0491 jacc=0.0252
Gen  31 | p_in=0.0010 p_out=0.0010 | loss=0.02908 | edges=84 density=0.0011 | f1=0.0026 jacc=0.0013
Gen  32 | p_in=0.0010 p_out=0.0011 | loss=0.02909 | edges=84 density=0.0011 | f1=0.0026 jacc=0.0013
Gen  33 | p_in=0.0010 p_out=0.0011 | loss=0.02911 | edges=84 density=0.0011 | f1=0.0026 jacc=0.0013
Gen  34 | p_in=0.0010 p_out=0.0010 | loss=0.02908 | edges=83 density=0.0011 | f1=0.0035 jacc=0.0018
Gen  35 | p_in=0.0010 p_out=0.0010 | loss=0.02909 | edges=83 density=0.0011 | f1=0.0018 jacc=0.0009
Gen  36 | p_in=0.0011 p_out=0.0010 | loss=0.02909 | edges=84 density=0.0011 | f1=0.0035 jacc=0.0018
Gen  37 | p_in=0.0010 p_out=0.0010 | loss=0.02908 | edges=84 density=0.0011 | f1=0.0026 jacc=0.0013
Gen  38 | p_in=0.0010 p_out=0.0010 | loss=0.02908 | edges=82 density=0.0011 | f1=0.0018 jacc=0.0009
Gen  39 | p_in=0.0010 p_out=0.0010 | loss=0.02908 | edges=83 density=0.0011 | f1=0.0018 jacc=0.0009
Gen  40 | p_in=0.0010 p_out=0.0010 | loss=0.02907 | edges=83 density=0.0011 | f1=0.0018 jacc=0.0009
Gen  41 | p_in=0.0011 p_out=0.0011 | loss=0.02906 | edges=84 density=0.0011 | f1=0.0070 jacc=0.0035
Gen  42 | p_in=0.0010 p_out=0.0010 | loss=0.02908 | edges=83 density=0.0011 | f1=0.0035 jacc=0.0018
Gen  43 | p_in=0.0010 p_out=0.0010 | loss=0.02909 | edges=82 density=0.0011 | f1=0.0018 jacc=0.0009
Gen  44 | p_in=0.0011 p_out=0.0010 | loss=0.02910 | edges=83 density=0.0011 | f1=0.0018 jacc=0.0009
Gen  45 | p_in=0.0010 p_out=0.0010 | loss=0.02909 | edges=83 density=0.0011 | f1=0.0018 jacc=0.0009
Gen  46 | p_in=0.0010 p_out=0.0011 | loss=0.02906 | edges=84 density=0.0011 | f1=0.0061 jacc=0.0031
Gen  47 | p_in=0.0010 p_out=0.0010 | loss=0.02909 | edges=82 density=0.0011 | f1=0.0026 jacc=0.0013
Gen  48 | p_in=0.0010 p_out=0.0010 | loss=0.02911 | edges=84 density=0.0011 | f1=0.0009 jacc=0.0004
Gen  49 | p_in=0.0010 p_out=0.0010 | loss=0.02910 | edges=84 density=0.0011 | f1=0.0018 jacc=0.0009
Gen  50 | p_in=0.0010 p_out=0.0011 | loss=0.02911 | edges=84 density=0.0011 | f1=0.0035 jacc=0.0018
